name,county,gender,image_url,start_date,end_date
Francis Thoya Foleni,Mombasa,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Mombasa_H.E._Francis_Thoya_Foleni.webp,2022,
Josphat Chirema Kombo,Kwale,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Kwale_H.E_Josphat_Chirema_Kombo.webp,2022,
Flora Mbetsa Chibule,Kilifi,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Kilifi_H.E_Flora_Mbetsa_Chibule.webp,2022,
Mahadh Ali Loka,Tana River,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Tana_River_H.E_Mahadh_Ali_Loka.webp,2022,
Raphael Munyua Ndung’u,Lamu,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Raphael_Ndungu_Munyua.webp,2022,2024
Dr. Mohamed Mbarak Bahjaj,Lamu,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Lamu_Lamu_Deputy_Governor.webp,2025,
Christine Saru Kilalo,Taita Taveta,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/TaitaTaveta_H.E_Christine_Saru_Kilalo.webp,2022,
Abdi Dagane Muhumed,Garissa,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Garissa_H.E_Abdi_Dagane_Muhumed.webp,2022,
Ahmed Muhumed Abdi,Wajir,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Wajir_H.E_Ahmed_Muhumed_Abdi.webp,2022,
Ali Maalim Mohamud,Mandera,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Mandera_H.E_Ali_Maalim_Mohamud.webp,2022,
Solomon Gubo Riwe,Marsabit,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Marsabit_H.E_Solomon_Gubo_Riwe.webp,2022,
Dr. James Lowasa,Isiolo,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Isiolo_H.E_Dr._James_Lowasa.webp,2022,
Isaac Mutuma M’ethingia,Meru,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Meru_H.E_Isaac_Mutuma_Methingia.webp,2022,2025
Linda Kiome,Meru,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Meru_H.E_Linda_Kiome.webp,2025,
Muisrael Nyagah Derebia,Tharaka-Nithi,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/TharakaNithi_H.E_Muisrael_Nyagah_Derebia.webp,2022,
Justus Kinyua Mugo,Embu,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Embu_H.E_Justus_Kinyua_Mugo.webp,2022,
Augustine Wambua Kanani,Kitui,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Kitui_H.E_Augustine_Wambua_Kanani.webp,2022,
Francis Mwangangi,Machakos,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Machakos_H.E_Francis_Mwangangi.webp,2022,
Lucy Mulili,Makueni,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Makueni_H.E_Lucy_Mulili.webp,2022,
John Mathara Mwangi,Nyandarua,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Nyandarua_H.E_John_Mathara_Mwangi.webp,2022,
David Kinaniri Waroe Mwangi,Nyeri,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Nyeri_H.E_David_Kinaniri_Waroe_Mwangi.webp,2022,
David Githanda Wachira,Kirinyaga,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Kirinyaga_H.E_David_Githanda_Wachira.webp,2022,
Stephen Mburu Munania,Murang'a,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Muranga_H.E_Stephen_Mburu_Munania.webp,2022,
Rosemary Njeri Kirika,Kiambu,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Kiambu_H.E_Rosemary_Njeri_Kirika.webp,2022,
John Lopeyok Erus,Turkana,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Turkana_H.E_John_Lopeyok_Erus.webp,2022,
Robert Achaule Komole,West Pokot,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/West_Pokot_H.E_Hon._Robert_Achaule_Komole.webp,2022,
Gabriel Lenengwesi Samia,Samburu,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Samburu_H.E_Gabriel_Lenengwesi_Samia.webp,2022,
Philomena Bineah,Trans-Nzoia,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Trans_Nzoia_H.E_Hon._Philomena_Bineah.webp,2022,
John Kibet Barorot,Uasin Gishu,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/John_Kibet_Barorot.webp,2022,2024
Evans Kapkea,Uasin Gishu,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Uasin_Gishu_H.E_Hon._Evans_Kapkea.webp,2024,
Grace Jerotich Cheserek,Elgeyo-Marakwet,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/ElgeyoMarakwet_H.E_Prof._Grace_Jerotich_Cheserek.webp,2022,
Dr. Yulita C. Mitei Cheruiyot,Nandi,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Nandi_H.E_Dr._Yulita_C._Mitei_Cheruiyot.webp,2022,
Kipng’ok Charles Kimaiyo,Baringo,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Kipngok_Charles_Kimaiyo.webp,2022,2022
Felix Kiplagat Maiyo,Baringo,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Baringo_H._E_Felix_Kiplagat_Maiyo.webp,2022,
Reuben Kamuri Ngatia,Laikipia,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Laikipia_H.E_Reuben_Kamuri_Ngatia.webp,2022,
David Kipkemoi Kones,Nakuru,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Nakuru_H.E_David_Kipkemoi_Kones.webp,2022,
Koech Kiprono Tamalinye,Narok,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Narok_H.E_Koech_Kiprono_Tamalinye.webp,2022,
Martine Moshisho Martin,Kajiado,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Kajiado_H.E_Martin_Moshisho_Martin.webp,2022,
Eng. Fredrick Kipngetich Kirui,Kericho,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Kericho_H.E_Eng._Fredrick_Kipngetich_Kirui.webp,2022,
David Shadrack Rotich,Bomet,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Bomet_H.E_Hon._David_Shadrack_Rotich.webp,2022,
Ayub Angatia Savula,Kakamega,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Kakamega_H.E_Hon._Ayub_ANGATIA_Savula.webp,2022,
Wilberforce Kitiezo Gwadoya,Vihiga,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Vihiga_H.E_Wilberforce_Kitiezo_Gwadoya.webp,2022,
Janepher Chemtai Mbatiany,Bungoma,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Bungoma_H.E_Janepher_Chemtai_Mbatiany.webp,2022,
Arthur Odera,Busia,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Busia_H.E_Hon._Arthur_Odera.webp,2022,
William Oduol,Siaya,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Siaya_H.E_William_Oduol.webp,2022,
Dr. Matthew Ochieng Owili,Kisumu,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Kisumu_H.E_Dr._Matthew_Ochieng_Owili.webp,2022,
Dr. Joseph Gimunta Mahiri,Migori,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Migori_H.E_Dr._Joseph_Gimunta_Mahiri.webp,2022,
Robert Onsare Monda,Kisii,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Robert_Onsare_Monda.webp,2022,2024
Elijah Chweya Obebo,Kisii,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Kisii_H.E_Elijah_Chweya_Obebo.webp,2024,
Dr. James Ondicho Gesami,Nyamira,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Nyamira_H.E_Dr._James_Ondicho_Gesami.webp,2022,
James Njoroge Muchiri,Nairobi,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Nairobi_H.E_James_Njoroge_Muchiri.webp,2022,
Joseph Oyugi Magwanga,Homa Bay,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/2022/Homa_Bay_Joseph_Oyugi_Magwanga.png,2022,
