name,county,party,gender,image_url,start_date,end_date
AbdullSwamad Shariff Nassir,Mombasa,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Mombasa_H.E._Hon._AbdullSwamad_Shariff_Nassir.webp,2022, 
Fatuma Mohamed Achani,Kwale,UDA,female,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Kwale_H.E_Fatuma_Mohamed_Achani.webp,2022,
"Gideon Maitha Mung’aro, OGW",Kilifi,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Kilifi_H.E_Gideon_Maitha_Mungaro_OGW.webp,2022,
Maj. (Rtd) Dr. Dhadho Gaddae Godhana,Tana River,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Tana_River_H.E_Maj._Rtd_Dr._Dhadho_Gaddae_Godhana.webp,2022,
"Issa Abdalla Timamy, EGH",Lamu,ANC,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Lamu_H.E_Issa_Abdalla_Timamy_EGH.webp,2022,
Dr. Andrew Mwadime,Taita Taveta,Independent,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/TaitaTaveta_H.E_Dr._Andrew_Mwadime.webp,2022,
"Nathif Adam Jama, EGH",Garissa,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Garissa_H.E_Nathif_Adam_Jama_EGH.webp,2022,
"FCPA Ahmed Abdullahi, EGH",Wajir,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Wajir_H.E_FCPA_Ahmed_Abdullahi_EGH.webp,2022,
"Mohamed Adan Khalif, EGH",Mandera,UDM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Mandera_H.E_Mohamed_Adan_Khalif_EGH.webp,2022,
"Mohamud Mohamed Ali, EGH",Marsabit,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Marsabit_H.E_Mohamud_Mohamed_Ali_EGH.webp,2022,
"Abdi Ibrahim Hassan, EGH",Isiolo,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Isiolo_H.E_Abdi_Ibrahim_Hassan_EGH.webp,2022,
Isaac Mutuma M’ethingia,Meru,Independent,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Meru_H.E_Isaac_Mutuma_Methingia.webp,2022,
"Muthomi Njuki, EGH",Tharaka-Nithi,UDA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/TharakaNithi_H.E_Hon._Muthomi_Njuki_EGH.webp,2022,
"Cecily Mutitu Mbarire, EGH, MGH",Embu,UDA,female,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Embu_H.E_Cecily_Mutitu_Mbarire_EGH_MGH.webp,2022,
"Dr. Julius Makau Malombe, EGH",Kitui,Wiper,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Kitui_H.E_Dr._Julius_Makau_Malombe_EGH.webp,2022,
"Wavinya Ndeti, EGH",Machakos,Wiper,female,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Machakos_H.E_Wavinya_Ndeti_EGH.webp,2022,
"Mutula Kilonzo JR, CBS",Makueni,Wiper,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Makueni_H.E_Mutula_Kilonzo_JR_CBS.webp,2022,
Dr. Moses Ndirangu Kiarie Badilisha,Nyandarua,UDA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Nyandarua_H.E_Dr._Moses_Ndirangu_Kiarie_Badilisha.webp,2022,
"Dr. Edward Mutahi Kahiga, EGH",Nyeri,UDA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Nyeri_H.E_Dr._Edward_Mutahi_Kahiga_EGH.webp,2022,
"Anne Mumbi Waiguru, EGH, OGW",Kirinyaga,UDA,female,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Kirinyaga_H.E_Anne_Mumbi_Waiguru_EGH_OGW.webp,2022,
"Dr. Irungu Kangata, CBS",Murang'a,UDA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Muranga_H.E_Dr._Irungu_Kangata_CBS.webp,2022,
"Dr. Paul Kimani Wamatangi, EGH",Kiambu,UDA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Kiambu_H.E_Dr._Paul_Kimani_Wamatangi_EGH.webp,2022,
Jeremiah Ekamais Lomorukai,Turkana,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Turkana_H.E_Jeremiah_Ekamais_Lomorukai.webp,2022,
"Simon Kachapin Kitalei, EGH, CBS",West Pokot,UDA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/West_Pokot_H.E_Simon_Kachapin_Kitalei_EGH_CBS.webp,2022,
Jonathan Lelelit Lati,Samburu,UDA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Samburu_H.E_Jonathan_Lelelit_Lati.webp,2022,
George Natembeya MBS,Trans-Nzoia,DAP-K,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Trans_Nzoia_H.E_Hon._George_Natembeya_MBS.webp,2022,
"Jonathan Bii, EGH",Uasin Gishu,UDA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Uasin_Gishu_H.E_Jonathan_Bii_EGH.webp,2022,
Wisley Rotich,Elgeyo-Marakwet,UDA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/ElgeyoMarakwet_H.E_Wisley_Rotich.webp,2022,
"Stephen Kipyego Sang, EGH",Nandi,UDA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Nandi_H.E_Stephen_Kipyego_Sang_EGH.webp,2022,
"Benjamin Chesire Cheboi, EGH, EBS",Baringo,UDA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Baringo_H.E_Benjamin_Chesire_Cheboi_EGH_EBS.webp,2022,
"Joshua Wakahora Irungu, EGH",Laikipia,UDA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Laikipia_H.E_Joshua_Wakahora_Irungu_EGH.webp,2022,
"Susan Wakarura Kihika, EGH",Nakuru,UDA,female,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Nakuru_H.E_Susan_Wakarura_Kihika_EGH.webp,2022,
Patrick Keturet Ole Ntutu,Narok,UDA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Narok_H.E_Patrick_Keturet_Ole_Ntutu.webp,2022,
"Joseph Jama Ole Lenku, EGH",Kajiado,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Kajiado_H.E_Joseph_Jama_Ole_Lenku_EGH.webp,2022,
Dr. Erick Kipkoech Mutai,Kericho,UDA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Kericho_H.E_Dr._Erick_Kipkoech_Mutai.webp,2022,
"Prof. Hillary K Barchok, EGH",Bomet,UDA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Bomet_H.E_Hon._Prof._Hillary_K_Barchok_EGH.webp,2022,
"FCPA Fernandes Barasa, OGW",Kakamega,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Kakamega_H.E_FCPA_Fernandes_Barasa_OGW.webp,2022,
"Dr. Wilber Khasilwa Ottichilo, EGH",Vihiga,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Vihiga_H.E_Hon._Dr._Wilber_Khasilwa_Ottichilo_EGH.webp,2022,
"Kenneth Makelo Lusaka, EGH",Bungoma,Ford-K,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Bungoma_H.E_Kenneth_Makelo_Lusaka_EGH.webp,2022,
"Dr. Paul Nyongesa Otuoma, EGH",Busia,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Busia_H.E_Dr._Paul_Nyongesa_Otuoma_EGH.webp,2022,
"James Orengo, EGH",Siaya,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Siaya_H.E_James_Orengo_EGH.webp,2022,
"Prof. Peter Anyang’ Nyong’o, EGH",Kisumu,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Kisumu_H.E_Hon._Prof._Peter_Anyang_Nyongo_EGH.webp,2022,
"Gladys Atieno Nyasuna Wanga, EGH, CBS",Homa Bay,ODM,female,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Homa_Bay_H.E_Gladys_Atieno_Nyasuna_Wanga_EGH_CBS.webp,2022,
"Dr. George Ochilo M. Ayacko, EGH",Migori,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Migori_H.E_Dr._George_Ochilo_M._Ayacko_EGH.webp,2022,
Paul Simba Arati,Kisii,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Kisii_H.E_Hon._Paul_Simba_Arati.webp,2022,
Amos Kimwomi Nyaribo,Nyamira,UPA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Nyamira_H.E_Amos_Kimwomi_Nyaribo.webp,2022,
"Sakaja Arthur Johnson, EGH , CBS",Nairobi,UDA,male,https://f003.backblazeb2.com/file/serikali-images/governors/2022/Nairobi_H.E_Sakaja_Arthur_Johnson_EGH__CBS.webp,2022,
